# Candidatos para las Elecciones 2025 - Mesa de Votacion
# Formato: id,nombre,partido_politico
0,VOTO EN BLANCO,NINGUNO
1,Maria Elena Rodriguez,Partido Democratico Nacional
2,Carlos Alberto Mendoza,Alianza Popular
3,Ana Sofia Vargas,Movimiento Progresista
4,Roberto Jose Herrera,Partido Liberal Unido
5,Claudia Patricia Morales,Frente Social Democratico
6,Luis Fernando Castro,Partido Conservador
7,Diana Isabel Ramirez,Nueva Generacion
8,Jorge Andres Perez,Union Ciudadana
9,Esperanza Gutierrez,Partido Verde Ecologista
10,Francisco Javier Torres,Movimiento Independiente
